t,num_sampled,num_new_elements,total_sample_size
1,6968,6967,6968
2,6852,6125,13093
3,7063,6213,19306
4,6828,6149,25455
5,6862,6452,31907
6,6748,6528,38435
7,6867,6283,44718
8,6983,6243,50961
9,6555,5730,56691
10,6482,6198,62889
11,6730,6385,69274
12,6464,6085,75359
13,6785,6461,81820
14,6202,6021,87841
15,7148,6883,94724
16,6996,6329,101053
17,6905,5700,106753
18,6901,6581,113334
19,7065,6616,119950
20,6986,6100,126050
21,6970,6856,132906
22,6978,6215,139121
23,6414,5309,144430
24,6483,5677,150107
25,6651,6455,156562
26,6732,6585,163147
27,6919,6038,169185
28,6953,6198,175383
29,6951,6445,181828
30,7059,6790,188618
31,7058,6186,194804
32,6948,6026,200830
33,6841,6470,207300
34,6842,6116,213416
35,6803,6154,219570
36,6833,6544,226114
37,6757,5757,231871
38,6854,5966,237837
39,7012,6844,244681
40,6934,6404,251085
41,6977,6715,257800
42,7110,6231,264031
43,7094,6934,270965
44,6895,6454,277419
45,6992,6681,284100
46,6991,6695,290795
47,6929,6154,296949
48,7104,6640,303589
49,6852,6665,310254
50,7181,6489,316743
51,6802,6166,322909
52,7248,6167,329076
53,6944,6844,335920
54,6718,6277,342197
55,6372,5406,347603
56,6872,5704,353307
57,6563,6088,359395
58,6652,6584,365979
59,6934,6844,372823
60,6929,6246,379069
61,6601,5686,384755
62,6626,6402,391157
63,6877,6225,397382
64,6925,6382,403764
65,7090,6282,410046
66,6793,5689,415735
67,6836,6663,422398
68,7094,6696,429094
69,7096,6697,435791
70,7109,6486,442277
71,7041,6414,448691
72,6833,6240,454931
73,6916,5951,460882
74,6987,6914,467796
75,7047,6819,474615
76,6997,6935,481550
77,6874,6249,487799
78,6966,6612,494411
79,7115,6370,500781
80,6895,6700,507481
81,6763,5722,513203
82,6801,6104,519307
83,6770,5884,525191
84,6956,6141,531332
85,6952,5975,537307
86,6683,6073,543380
87,6992,6202,549582
88,6970,6226,555808
89,6979,6576,562384
90,7064,6832,569216
91,6868,5344,574560
92,6999,6183,580743
93,6918,6123,586866
94,6860,6143,593009
95,7112,6703,599712
96,6931,6526,606238
97,7113,6701,612939
98,6877,6597,619536
99,6924,6386,625922
100,6999,6119,632041
101,6908,6660,638701
102,7182,6410,645111
103,6818,5774,650885
104,6892,6237,657122
105,6534,6030,663152
106,6433,5792,668944
107,6629,6232,675176
108,6507,6002,681178
109,6600,5690,686868
110,6503,6059,692927
111,6629,6473,699400
112,6552,6450,705850
113,6973,6749,712599
114,6885,6834,719433
115,6601,6120,725553
116,6808,6666,732219
117,6964,6693,738912
118,6969,5730,744642
119,6927,6044,750686
120,6725,5809,756495
121,6714,6210,762705
122,6596,6106,768811
123,6978,6837,775648
124,6971,6518,782166
125,6972,6559,788725
126,6947,6308,795033
127,6698,6098,801131
128,6503,6216,807347
129,6944,6679,814026
130,7176,6939,820965
131,6596,6378,827343
132,6329,6292,833635
133,6325,5966,839601
134,6662,6391,845992
135,6448,6175,852167
136,7007,6974,859141
137,6758,6081,865222
138,6082,5539,870761
139,6970,6953,877714
140,6984,6777,884491
141,7033,6651,891142
142,6814,6630,897772
143,6990,6428,904200
144,6835,6647,910847
145,7083,6391,917238
146,6859,6594,923832
147,7007,6364,930196
148,6716,6587,936783
149,6845,6562,943345
150,7112,5423,948768
151,6843,6317,955085
152,6537,5553,960638
153,6823,6081,966719
154,7020,6371,973090
155,6909,6853,979943
156,6948,6216,986159
157,6857,6554,992713
158,7042,6653,999366
159,6587,6445,1005811
160,7005,6369,1012180
161,6748,6734,1018914
162,6645,6236,1025150
163,6900,6567,1031717
164,6809,5485,1037202
165,6883,6070,1043272
166,6947,6780,1050052
167,6566,6204,1056256
168,6999,6494,1062750
169,6678,6016,1068766
170,6708,6251,1075017
171,6446,5744,1080761
172,7075,6442,1087203
173,6962,5309,1092512
174,7132,6533,1099045
175,7045,6239,1105284
176,6699,6500,1111784
177,6277,6011,1117795
178,6559,5962,1123757
179,6244,5761,1129518
180,6389,6106,1135624
181,6828,6745,1142369
182,6241,6186,1148555
183,6909,6517,1155072
184,6877,6607,1161679
185,6769,5925,1167604
186,6918,6498,1174102
187,6765,6704,1180806
188,7133,6860,1187666
189,7048,6700,1194366
190,6729,6022,1200388
191,7068,6964,1207352
192,6978,6371,1213723
193,6216,5473,1219196
194,6788,5412,1224608
195,6532,5948,1230556
196,6980,6787,1237343
197,7035,6502,1243845
198,6959,6638,1250483
199,7083,5810,1256293
200,7013,6619,1262912
